t,Ar,Ar+,e,T_e,T_n,p,P
0.00020027503645331574,1.6914032476138536e+21,3.8548605972574714e+17,3.8548605972574714e+17,1.0395542841153504,342.5,8.000000000000101,1500.0
0.00020039254090865958,1.691402794019021e+21,3.8593965455847597e+17,3.8593965455847597e+17,1.0561426179597757,342.5,8.000000000000101,1500.0
0.00020051004536400342,1.6914022472524607e+21,3.8648642111834515e+17,3.8648642111834515e+17,1.0666451313613028,342.5,8.0000000000001,1500.0
0.00020062754981934727,1.6914016348721122e+21,3.8709880146709114e+17,3.8709880146709114e+17,1.0727611805289972,342.5,8.000000000000101,1500.0
0.0002008090865290654,1.691400625480109e+21,3.881081934700528e+17,3.881081934700528e+17,1.0785521999259895,342.5,8.000000000000101,1500.0
0.0002009906232387835,1.691399564413033e+21,3.8916926054618515e+17,3.8916926054618515e+17,1.0813639909830377,342.5,8.000000000000101,1500.0
0.00020117215994850163,1.69139847571238e+21,3.902579611993209e+17,3.902579611993209e+17,1.0825962923595875,342.5,8.000000000000101,1500.0
0.00020144686320757157,1.6913968018054738e+21,3.9193186810542816e+17,3.9193186810542816e+17,1.0829265388727085,342.5,8.000000000000101,1500.0
0.0002017215664666415,1.6913951197958276e+21,3.936138777515004e+17,3.936138777515004e+17,1.0827468905092925,342.5,8.000000000000101,1500.0
0.00020199626972571143,1.6913934373918844e+21,3.9529628169436154e+17,3.9529628169436154e+17,1.0824827517079092,342.5,8.000000000000098,1500.0
0.00020227097298478137,1.691391755412131e+21,3.969782614481174e+17,3.969782614481174e+17,1.0821779564545142,342.5,8.000000000000101,1500.0
0.00020372157669019679,1.6913828791919166e+21,4.058544816620931e+17,4.058544816620931e+17,1.0799743415676357,342.5,8.000000000000098,1500.0
0.0002051721803956122,1.6913740286724413e+21,4.147050011377891e+17,4.147050011377891e+17,1.0776620021489796,342.5,8.0000000000001,1500.0
0.00020662278410102762,1.6913652075293526e+21,4.235261442266375e+17,4.235261442266375e+17,1.0754730525882057,342.5,8.000000000000101,1500.0
0.00021622109031270664,1.6913080035226194e+21,4.807301509595167e+17,4.807301509595167e+17,1.0635344628936454,342.5,8.0000000000001,1500.0
0.00022581939652438566,1.691251969674479e+21,5.3676399909978003e+17,5.3676399909978003e+17,1.053525239923679,342.5,8.000000000000098,1500.0
0.00024267361210689447,1.6911558238910315e+21,6.329097825475418e+17,6.329097825475418e+17,1.0386882010511649,342.5,8.0000000000001,1500.0
0.0002595278276894033,1.691062596520507e+21,7.261371530710913e+17,7.261371530710913e+17,1.0263817299617013,342.5,8.000000000000096,1500.0
0.00027638204327191213,1.6909720932181845e+21,8.166404553911123e+17,8.166404553911123e+17,1.0160577093858325,342.5,8.000000000000083,1500.0
0.0003143760938658159,1.6907771839660153e+21,1.0115497075571809e+18,1.0115497075571809e+18,0.9975904695365013,342.5,8.00000000000007,1500.0
0.00035237014445971965,1.6905935545406713e+21,1.1951791328999475e+18,1.1951791328999475e+18,0.9835554422327882,342.5,8.000000000000062,1500.0
0.0003903641950536234,1.6904201990130203e+21,1.36853466054953e+18,1.36853466054953e+18,0.9729008456001599,342.5,8.000000000000057,1500.0
0.00042835824564752716,1.6902562938644658e+21,1.5324398091186442e+18,1.5324398091186442e+18,0.9641681106299488,342.5,8.000000000000126,1500.0
0.0005042502176678252,1.6899532517844997e+21,1.835481889088519e+18,1.835481889088519e+18,0.9500442624204878,342.5,8.000000000000142,1500.0
